id_evento;id_fecha;id_campana;id_lead;etapa_funnel;timestamp_evento;valor_evento
E43;20260801;C001;L1014;Landing Visit;01/08/2026 13:00;0
E44;20260801;C001;L1014;Benchmark;01/08/2026 13:07;0
E45;20260801;C001;L1014;Email 1 Sent;01/08/2026 13:12;0
E267;20260802;C001;L1097;Landing Visit;02/08/2026 19:00;0
E93;20260802;C001;L1031;Landing Visit;02/08/2026 21:00;0
E46;20260803;C001;L1014;Email 2 Sent;03/08/2026 13:12;0
E227;20260805;C001;L1084;Landing Visit;05/08/2026 9:00;0
E228;20260805;C001;L1084;Calculator;05/08/2026 9:05;834
E229;20260805;C001;L1084;Email 1 Sent;05/08/2026 9:10;0
E117;20260806;C001;L1038;Landing Visit;06/08/2026 16:00;0
E118;20260806;C001;L1038;Benchmark;06/08/2026 16:01;0
E119;20260806;C001;L1038;Email 1 Sent;06/08/2026 16:06;0
E230;20260807;C001;L1084;Email 2 Sent;07/08/2026 9:10;0
E120;20260807;C001;L1038;Email 1 Open;07/08/2026 13:06;0
E121;20260807;C001;L1038;Email Click;07/08/2026 13:17;0
E9;20260807;C001;L1004;Landing Visit;07/08/2026 15:00;0
E131;20260808;C001;L1043;Landing Visit;08/08/2026 21:00;0
E122;20260809;C001;L1038;Email 2 Sent;09/08/2026 13:17;0
E54;20260810;C001;L1019;Landing Visit;10/08/2026 9:00;0
E55;20260810;C001;L1019;Calculator;10/08/2026 9:08;351
E56;20260810;C001;L1019;Email 1 Sent;10/08/2026 9:13;0
E2;20260810;C001;L1001;Landing Visit;10/08/2026 12:00;0
E123;20260810;C001;L1038;Founder Meeting;10/08/2026 13:17;0
E104;20260811;C001;L1035;Landing Visit;11/08/2026 16:00;0
E57;20260812;C001;L1019;Email 2 Sent;12/08/2026 9:13;0
E3;20260812;C001;L1002;Landing Visit;12/08/2026 15:00;0
E4;20260812;C001;L1002;Benchmark;12/08/2026 15:06;0
E5;20260812;C001;L1002;Email 1 Sent;12/08/2026 15:11;0
E6;20260813;C001;L1002;Email 1 Open;13/08/2026 13:11;0
E223;20260813;C001;L1083;Landing Visit;13/08/2026 15:00;0
E224;20260813;C001;L1083;Calculator;13/08/2026 15:04;444
E225;20260813;C001;L1083;Email 1 Sent;13/08/2026 15:09;0
E261;20260813;C001;L1094;Landing Visit;13/08/2026 17:00;0
E262;20260813;C001;L1094;Calculator;13/08/2026 17:08;767
E263;20260813;C001;L1094;Email 1 Sent;13/08/2026 17:13;0
E14;20260815;C001;L1006;Landing Visit;15/08/2026 9:00;0
E221;20260815;C001;L1081;Landing Visit;15/08/2026 13:00;0
E7;20260815;C001;L1002;Email 2 Sent;15/08/2026 13:11;0
E226;20260815;C001;L1083;Email 2 Sent;15/08/2026 15:09;0
E264;20260815;C001;L1094;Email 2 Sent;15/08/2026 17:13;0
E125;20260816;C001;L1040;Landing Visit;16/08/2026 11:00;0
E81;20260816;C001;L1029;Landing Visit;16/08/2026 13:00;0
E82;20260816;C001;L1029;Calculator;16/08/2026 13:02;61
E83;20260816;C001;L1029;Email 1 Sent;16/08/2026 13:07;0
E276;20260816;C001;L1101;Landing Visit;16/08/2026 16:00;0
E289;20260816;C001;L1110;Landing Visit;16/08/2026 18:00;0
E290;20260816;C001;L1110;Calculator;16/08/2026 18:07;419
E291;20260816;C001;L1110;Email 1 Sent;16/08/2026 18:12;0
E154;20260816;C001;L1058;Landing Visit;16/08/2026 21:00;0
E84;20260817;C001;L1029;Email 1 Open;17/08/2026 12:07;0
E85;20260817;C001;L1029;Email Click;17/08/2026 12:11;0
E301;20260817;C001;L1119;Landing Visit;17/08/2026 14:00;0
E8;20260818;C001;L1003;Landing Visit;18/08/2026 11:00;0
E162;20260818;C001;L1061;Landing Visit;18/08/2026 17:00;0
E163;20260818;C001;L1061;Calculator;18/08/2026 17:04;157
E164;20260818;C001;L1061;Email 1 Sent;18/08/2026 17:09;0
E161;20260818;C001;L1060;Landing Visit;18/08/2026 18:00;0
E292;20260818;C001;L1110;Email 2 Sent;18/08/2026 18:12;0
E86;20260819;C001;L1029;Email 2 Sent;19/08/2026 12:11;0
E282;20260819;C001;L1107;Landing Visit;19/08/2026 20:00;0
E283;20260819;C001;L1107;Benchmark;19/08/2026 20:08;0
E284;20260819;C001;L1107;Email 1 Sent;19/08/2026 20:13;0
E285;20260820;C001;L1107;Email 1 Open;20/08/2026 12:13;0
E42;20260820;C001;L1013;Landing Visit;20/08/2026 15:00;0
E165;20260820;C001;L1061;Email 2 Sent;20/08/2026 17:09;0
E133;20260820;C001;L1045;Landing Visit;20/08/2026 18:00;0
E207;20260820;C001;L1077;Landing Visit;20/08/2026 18:00;0
E152;20260821;C001;L1056;Landing Visit;21/08/2026 12:00;0
E288;20260821;C001;L1109;Landing Visit;21/08/2026 12:00;0
E296;20260822;C001;L1114;Landing Visit;22/08/2026 10:00;0
E286;20260822;C001;L1107;Email 2 Sent;22/08/2026 12:13;0
E87;20260823;C001;L1029;Founder Meeting;23/08/2026 12:11;0
E277;20260825;C001;L1102;Landing Visit;25/08/2026 12:00;0
E134;20260825;C001;L1046;Landing Visit;25/08/2026 15:00;0
E280;20260827;C001;L1105;Landing Visit;27/08/2026 14:00;0
E299;20260827;C001;L1117;Landing Visit;27/08/2026 19:00;0
E231;20260829;C001;L1085;Landing Visit;29/08/2026 10:00;0
E72;20260829;C001;L1024;Landing Visit;29/08/2026 18:00;0
E127;20260830;C001;L1042;Landing Visit;30/08/2026 20:00;0
E128;20260830;C001;L1042;Calculator;30/08/2026 20:06;813
E129;20260830;C001;L1042;Email 1 Sent;30/08/2026 20:11;0
E94;20260831;C001;L1032;Landing Visit;31/08/2026 9:00;0
E10;20260831;C001;L1005;Landing Visit;31/08/2026 12:00;0
E11;20260831;C001;L1005;Calculator;31/08/2026 12:08;779
E12;20260831;C001;L1005;Email 1 Sent;31/08/2026 12:13;0
E88;20260901;C001;L1029;Final Conversion;01/09/2026 12:11;61
E130;20260901;C001;L1042;Email 2 Sent;01/09/2026 20:11;0
E13;20260902;C001;L1005;Email 2 Sent;02/09/2026 12:13;0
E48;20260902;C001;L1016;Landing Visit;02/09/2026 16:00;0
E1;20260905;C001;L1000;Landing Visit;05/09/2026 15:00;0
E74;20260905;C001;L1026;Landing Visit;05/09/2026 16:00;0
